Word,Frequency,French Raw Confidence,French Flower Power,French Matches,English Raw Confidence,English Flower Power,English Matches,French Bias Score,Language Preference
you,87,0.167,0.005,2,1.000,1.000,12,-0.833,English
the,65,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
this,29,0.083,0.001,1,1.000,1.000,12,-0.917,English
have,25,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
are,23,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
that,21,0.167,0.005,2,1.000,1.000,12,-0.833,English
your,18,0.000,0.000,0,1.000,1.000,12,-1.000,English
and,16,0.083,0.001,1,1.000,1.000,12,-0.917,English
cart,15,0.083,0.001,1,1.000,1.000,12,-0.917,English
time,14,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
not,14,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
they,14,0.083,0.001,1,1.000,1.000,12,-0.917,English
like,14,0.250,0.016,3,1.000,1.000,12,-0.750,English
for,13,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
gentlemen,13,0.167,0.005,2,1.000,1.000,12,-0.833,English
let,13,0.083,0.001,1,1.000,1.000,12,-0.917,English
well,10,0.000,0.000,0,1.000,1.000,12,-1.000,English
now,10,0.000,0.000,0,1.000,1.000,12,-1.000,English
back,10,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
push,10,0.083,0.001,1,1.000,1.000,12,-0.917,English
our,10,0.083,0.001,1,1.000,1.000,12,-0.917,English
will,10,0.083,0.001,1,1.000,1.000,12,-0.917,English
finally,9,0.167,0.005,2,1.000,1.000,12,-0.833,English
game,9,0.083,0.001,1,1.000,1.000,12,-0.917,English
what,9,0.000,0.000,0,1.000,1.000,12,-1.000,English
unicorn,9,0.083,0.001,1,1.000,1.000,12,-0.917,English
don,8,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
all,8,0.167,0.005,2,1.000,1.000,12,-0.833,English
yes,8,0.167,0.005,2,1.000,1.000,12,-0.833,English
one,8,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
spy,8,0.000,0.000,0,1.000,1.000,12,-1.000,English
done,8,0.167,0.005,2,1.000,1.000,12,-0.833,English
hell,8,0.083,0.001,1,1.000,1.000,12,-0.917,English
did,8,0.083,0.001,1,1.000,1.000,12,-0.917,English
man,8,0.083,0.001,1,1.000,1.000,12,-0.917,English
can,8,0.000,0.000,0,1.000,1.000,12,-1.000,English
been,8,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
get,8,0.000,0.000,0,1.000,1.000,12,-1.000,English
just,8,0.000,0.000,0,1.000,1.000,12,-1.000,English
stop,8,0.167,0.005,2,1.000,1.000,12,-0.833,English
there,7,0.000,0.000,0,1.000,1.000,12,-1.000,English
course,7,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
point,7,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
again,7,0.000,0.000,0,1.000,1.000,12,-1.000,English
was,7,0.000,0.000,0,1.000,1.000,12,-1.000,English
medic,7,0.000,0.000,0,1.000,1.000,12,-1.000,English
come,6,0.000,0.000,0,1.000,1.000,12,-1.000,English
with,6,0.000,0.000,0,1.000,1.000,12,-1.000,English
good,6,0.250,0.016,3,1.000,1.000,12,-0.750,English
won,6,0.083,0.001,1,1.000,1.000,12,-0.917,English
friend,6,0.000,0.000,0,1.000,1.000,12,-1.000,English
ready,5,0.083,0.001,1,1.000,1.000,12,-0.917,English
doctor,5,0.167,0.005,2,1.000,1.000,12,-0.833,English
stand,5,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
fat,5,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
excellent,5,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
ours,5,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
who,5,0.000,0.000,0,1.000,1.000,12,-1.000,English
prettiest,5,0.000,0.000,0,1.000,1.000,12,-1.000,English
unicorns,5,0.083,0.001,1,1.000,1.000,12,-0.917,English
winning,5,0.000,0.000,0,1.000,1.000,12,-1.000,English
never,5,0.000,0.000,0,1.000,1.000,12,-1.000,English
them,5,0.083,0.001,1,1.000,1.000,12,-0.917,English
win,5,0.083,0.001,1,1.000,1.000,12,-0.917,English
out,5,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
tied,5,0.083,0.001,1,1.000,1.000,12,-0.917,English
next,5,0.083,0.001,1,1.000,1.000,12,-0.917,English
thank,5,0.000,0.000,0,1.000,1.000,12,-1.000,English
day,4,0.000,0.000,0,1.000,1.000,12,-1.000,English
about,4,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
work,4,0.167,0.005,2,1.000,1.000,12,-0.833,English
backs,4,0.000,0.000,0,1.000,1.000,12,-1.000,English
another,4,0.083,0.001,1,1.000,1.000,12,-0.917,English
died,4,0.000,0.000,0,1.000,1.000,12,-1.000,English
bad,4,0.250,0.016,3,1.000,1.000,12,-0.750,English
death,4,0.000,0.000,0,1.000,1.000,12,-1.000,English
but,4,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
feel,4,0.000,0.000,0,1.000,1.000,12,-1.000,English
playing,4,0.083,0.001,1,1.000,1.000,12,-0.917,English
